iter	Passed	Remaining
994	4441	5253
995	4444	5248
996	4449	5243
997	4453	5238
998	4457	5233
999	4460	5228
1000	4465	5224
1001	4469	5218
1002	4473	5213
1003	4476	5207
1004	4481	5204
1005	4485	5198
1006	4488	5193
1007	4492	5187
1008	4498	5185
1009	4502	5180
1010	4506	5175
1011	4511	5170
1012	4515	5166
1013	4520	5162
1014	4524	5157
1015	4529	5153
1016	4533	5149
1017	4537	5143
1018	4541	5138
1019	4549	5138
1020	4553	5133
1021	4557	5128
1022	4563	5125
1023	4567	5120
1024	4571	5115
1025	4575	5110
1026	4579	5105
1027	4583	5101
1028	4587	5096
1029	4592	5091
1030	4596	5086
1031	4600	5082
1032	4605	5077
1033	4610	5073
1034	4614	5069
1035	4618	5064
1036	4622	5059
1037	4628	5056
1038	4634	5053
1039	4638	5048
1040	4643	5044
1041	4647	5039
1042	4650	5034
1043	4656	5030
1044	4661	5026
1045	4665	5021
1046	4669	5017
1047	4673	5012
1048	4677	5007
1049	4680	5001
1050	4684	4996
1051	4688	4991
1052	4692	4986
1053	4696	4981
1054	4700	4976
1055	4704	4971
1056	4709	4967
1057	4712	4962
1058	4716	4957
1059	4720	4952
1060	4725	4948
1061	4730	4944
1062	4734	4939
1063	4739	4934
1064	4743	4930
1065	4747	4925
1066	4750	4919
1067	4755	4915
1068	4759	4911
1069	4764	4906
1070	4767	4901
1071	4772	4897
1072	4776	4891
1073	4780	4887
1074	4784	4882
1075	4788	4877
1076	4792	4873
1077	4797	4868
1078	4801	4863
1079	4805	4858
1080	4809	4853
1081	4813	4848
1082	4817	4844
1083	4821	4839
1084	4825	4834
1085	4830	4830
1086	4836	4827
1087	4840	4822
1088	4844	4818
1089	4849	4813
1090	4854	4809
1091	4858	4804
1092	4861	4799
1093	4866	4794
1094	4869	4789
1095	4874	4785
1096	4878	4780
1097	4882	4775
1098	4886	4771
1099	4891	4766
1100	4895	4761
1101	4899	4756
1102	4903	4752
1103	4907	4747
1104	4911	4742
1105	4916	4738
1106	4920	4733
1107	4924	4729
1108	4929	4724
1109	4935	4722
1110	4940	4718
1111	4944	4713
1112	4948	4708
1113	4952	4703
1114	4956	4699
1115	4960	4694
1116	4964	4689
1117	4968	4684
1118	4973	4679
1119	4977	4674
1120	4981	4670
1121	4985	4666
1122	4990	4661
1123	4994	4656
1124	4999	4652
1125	5003	4647
1126	5007	4643
1127	5011	4638
1128	5015	4633
1129	5020	4629
1130	5024	4624
1131	5029	4620
1132	5033	4616
1133	5038	4611
1134	5043	4607
1135	5048	4603
1136	5052	4599
1137	5056	4594
1138	5060	4589
1139	5064	4584
1140	5068	4580
1141	5072	4575
1142	5076	4570
1143	5080	4565
1144	5085	4561
1145	5089	4556
1146	5094	4552
1147	5098	4547
1148	5102	4542
1149	5106	4537
1150	5111	4534
1151	5115	4529
1152	5119	4524
1153	5123	4520
